"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n1";"n2";"n";"g";"type";"design";"setting";"perpetrator";"dv";"id";"nnew";"effest.exp";"effestnew.exp";"ncnew";"ntnew";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Ross";"Ross";"";"";"";"";NA;NA;1971;6;12;18;-1.229;"lab";"exp";"emerg";"no";"helping rate";13;18;1.229;1.229;6;12;1.29045;1.29045;0.222095388602917;0.222095388602917;0.201447064492442;0.201447064492442
"Ross & Braband";"Ross";"Braband";"";"";"";NA;NA;1973;14;28;42;-0.726;"lab";"exp";"emerg";"no";"helping rate";13;42;0.726;0.726;14;28;0.739961538461538;0.739961538461538;0.0952366875556343;0.0952366875556343;0.0916767544145373;0.0916767544145373
"Ross & Braband";"Ross";"Braband";"";"";"";NA;NA;1973;14;28;42;-0.332;"lab";"exp";"bystander danger";"no";"helping rate";13;42;0.332;0.332;14;28;0.338384615384615;0.338384615384615;0.0952378008551118;0.0952378008551118;0.0916778260990468;0.0916778260990468
"Rutkowski et al.";"Rutkowski";"Gruder";"Romer";"";"";NA;NA;1983;30;29;59;0.467;"lab";"exp";"emerg";"no";"combined";13;59;-0.467;-0.467;30;29;-0.473254464285714;-0.473254464285714;0.067796462302774;0.067796462302774;0.0660163265831666;0.0660163265831666
"Rutkowski et al.";"Rutkowski";"Gruder";"Romer";"";"";NA;NA;1983;29;31;60;-0.595;"lab";"exp";"emerg";"no";"combined";13;60;0.595;0.595;29;31;0.602828947368421;0.602828947368421;0.0666664423447426;0.0666664423447426;0.064946090568938;0.064946090568938
"Schwartz & Clausen";"Schwartz";"Clausen";"";"";"";NA;NA;1970;29;60;89;-0.685;"lab";"qexp";"emerg";"no";"speed score";13;89;0.685;0.685;29;60;0.690973837209302;0.690973837209302;0.044943759347812;0.044943759347812;0.0441699931581749;0.0441699931581749
"Schwartz & Clausen";"Schwartz";"Clausen";"";"";"";NA;NA;1970;30;60;90;-0.296;"lab";"qexp";"emerg";"no";"speed score";13;90;0.296;0.296;30;60;0.298551724137931;0.298551724137931;0.0444444335762097;0.0444444335762097;0.0436879463950236;0.0436879463950236
"Schwartz & Gottlieb";"Schwartz";"Gottlieb";"";"";"";NA;NA;1976;11;13;24;-1.407;"lab";"exp";"emerg";"yes";"helping rate";13;24;1.407;1.406924734;13;11;1.45725;1.45717204592857;0.166615477301915;0.166615477301915;0.155322870635792;0.155322870635792
"Senneker & Hendrick";"Senneker";"Hendrick";"";"";"";NA;NA;1983;26;54;80;-0.471;"lab";"exp";"emerg";"no";"latency";13;80;0.471;0.471;26;54;0.475587662337662;0.475587662337662;0.0499999558235499;0.0499999558235499;0.0490399790039933;0.0490399790039933
"Senneker & Hendrick";"Senneker";"Hendrick";"";"";"";NA;NA;1983;26;54;80;-0.471;"lab";"exp";"emerg";"no";"latency";13;80;0.471;0.471;26;54;0.475587662337662;0.475587662337662;0.0499999558235499;0.0499999558235499;0.0490399790039933;0.0490399790039933
"Shaffer et al.";"Shaffer";"Rogel";"Hendrick";"";"";NA;NA;1975;8;8;16;-1.26;"field";"exp";"villain act";"yes";"helping rate";13;16;1.26;1.26;8;8;1.33269230769231;1.33269230769231;0.249783382583343;0.249783382583343;0.223277443472846;0.223277443472846
"Shaffer et al.";"Shaffer";"Rogel";"Hendrick";"";"";NA;NA;1975;8;8;16;-1.039;"field";"exp";"villain act";"yes";"helping rate";13;16;1.039;1.039;8;8;1.09894230769231;1.09894230769231;0.24985266571431;0.24985266571431;0.2233393745757;0.2233393745757
"Shaffer et al.";"Shaffer";"Rogel";"Hendrick";"";"";NA;NA;1975;8;8;16;-0.986;"field";"exp";"villain act";"yes";"helping rate";13;16;0.986;0.986;8;8;1.04288461538462;1.04288461538462;0.249867305780803;0.249867305780803;0.223352461101254;0.223352461101254
"Shaffer et al.";"Shaffer";"Rogel";"Hendrick";"";"";NA;NA;1975;8;8;16;-0.277;"field";"exp";"villain act";"yes";"helping rate";13;16;0.277;0.277;8;8;0.292980769230769;0.292980769230769;0.249989522200491;0.249989522200491;0.223461708439712;0.223461708439712
"Shotland & Heinold";"Shotland";"Heinold";"";"";"";NA;NA;1985;40;40;80;-0.422;"field";"exp";"emerg";"no";"helping rate";13;80;0.422;0.422;40;40;0.42611038961039;0.42611038961039;0.049999964537122;0.049999964537122;0.0490399875502687;0.0490399875502687
"Shotland & Heinold";"Shotland";"Heinold";"";"";"";NA;NA;1985;43;40;83;-0.358;"field";"exp";"emerg";"no";"helping rate";13;83;0.358;0.358;43;40;0.36135625;0.36135625;0.048192749072892;0.048192749072892;0.047301685102552;0.047301685102552
"Smith et al.";"Smith";"Smythe";"Lien";"";"";NA;NA;1972;10;20;30;-1.912;"lab";"exp";"emerg";"no";"helping rate";13;30;1.912;1.912;10;20;1.96511111111111;1.96511111111111;0.13329520437165;0.13329520437165;0.1261874250297;0.1261874250297
"Smith et al.";"Smith";"Smythe";"Lien";"";"";NA;NA;1972;10;20;30;-0.664;"lab";"exp";"emerg";"no";"helping rate";13;30;0.664;0.664;10;20;0.682444444444444;0.682444444444444;0.1333287336854;0.1333287336854;0.12621916643994;0.12621916643994
