study;a1;a2;a3;a4;a5;yop;n;r;domain;criterion;z;zexp;nnew;znew;znewexp;vz;newvz
Synk & Swarthout;Synk;Swarthout;;;;1987;196;-0.01;Employ;Subjective;-0.010000333;-0.010000333;196;-0.010000333;-0.010000333;0.005181347;
Synk & Swarthout;Synk;Swarthout;;;;1987;3662;0.12;Employ;Subjective;0.120581028;0.120581028;3662;0.120581028;0.120581028;0.000273299;
Synk & Swarthout;Synk;Swarthout;;;;1987;3886;0.15;Employ;Subjective;0.151140436;0.151140436;3886;0.151140436;0.151140436;0.000257533;
Temp;Temp;;;;;1971;39;0.41;Educ;Grades;0.435611223;0.435611223;39;0.435611223;0.435611223;0.027777778;
Temp;Temp;;;;;1971;68;0.08;Educ;Grades;0.080171325;0.080171325;68;0.080171325;0.080171325;0.015384615;
Temp;Temp;;;;;1971;92;0.18;Educ;Grades;0.181982689;0.181982689;92;0.181982689;0.181982689;0.011235955;
Temp;Temp;;;;;1971;98;0.15;Educ;Grades;0.151140436;0.151140436;98;0.151140436;0.151140436;0.010526316;
Temp;Temp;;;;;1971;99;0.07;Educ;Grades;0.070114671;0.070114671;99;0.070114671;0.070114671;0.010416667;
Temp;Temp;;;;;1971;100;0.06;Educ;Grades;0.060072156;0.060072156;100;0.060072156;0.060072156;0.010309278;
Temp;Temp;;;;;1971;100;0.26;Educ;Grades;0.266108407;0.266108407;100;0.266108407;0.266108407;0.010309278;
Temp;Temp;;;;;1971;100;0.27;Educ;Grades;0.276863823;0.276863823;100;0.276863823;0.276863823;0.010309278;
Temp;Temp;;;;;1971;100;0.39;Educ;Grades;0.411800034;0.411800034;100;0.411800034;0.411800034;0.010309278;
Temp;Temp;;;;;1971;102;0.25;Educ;Grades;0.255412812;0.255412812;102;0.255412812;0.255412812;0.01010101;
Temp;Temp;;;;;1971;104;0.15;Educ;Grades;0.151140436;0.151140436;104;0.151140436;0.151140436;0.00990099;
Temp;Temp;;;;;1971;104;0.3;Educ;Grades;0.309519604;0.309519604;104;0.309519604;0.309519604;0.00990099;
Temp;Temp;;;;;1971;140;0.51;Educ;Grades;0.562729769;0.562729769;140;0.562729769;0.562729769;0.00729927;
Tracey & Sedlacek;Tracey;Sedlacek;;;;1985;89;0.4;Educ;Grades;0.42364893;0.42364893;89;0.42364893;0.42364893;0.011627907;
Tracey & Sedlacek;Tracey;Sedlacek;;;;1985;190;0.33;Educ;Grades;0.342828254;0.342828254;190;0.342828254;0.342828254;0.005347594;
US dep.;U.S. Department of Labor;;;;;1985;30;0.41;Employ;Subjective;0.435611223;0.435611223;30;0.435611223;0.435611223;0.037037037;
Valentine;Valentine;;;;;1977;24;0.1;Military;Grades;0.100335348;0.100335348;24;0.100335348;0.100335348;0.047619048;
Valentine;Valentine;;;;;1977;28;0.17;Military;Grades;0.171666664;0.171666664;28;0.171666664;0.171666664;0.04;
